Nr;key;Kurztitel;Langtitel;Zitiert nach:;Bde.;Verlinkt;Link vorhanden;Online abgeglichen;Digitalisat;Online-Zugriff;Geschichtsquellen.de;Arlima.net;Supplement;Band I;Band I,1;Band I,2;Band II;Band III;Band IV;Band V;Band VI;Band VII;Band VII,1;Band VII,2;Band VIII;Band IX;Band X;Band XI;Band XII;Band XIII;Band XIV;Band XV;Band XVI;Hinweis;;;;;;;;;;;;;;;
164;Falkenstein,_Decretalia_Remensia;Falkenstein, Decretalia Remensia;Ludwig Falkenstein, Decretalia Remensia. Zu Daten und Inhalt einiger Dekretalen Alexanders III. für Empfänger in der Kirchenprovinz Reims, in: Filippo Liotta, Miscellanea Rolando Bandinelli Papa Alessandro III, Siena 1986, S. 153–215.;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
165;Falkenstein,_Doppelwahl;Falkenstein, Doppelwahl;Ludwig Falkenstein, Alexander III. und der Streit um die Doppelwahl in Châlons-sur-Marne (1162–1164), in: Deutsches Archiv 32 (1976), S. 444–494.;;;;X;X;http://www.digizeitschriften.de/dms/img/?PPN=PPN345858735_0032&DMDID=dmdlog37 ;;;;;;;;;;;;;;;;;;;;;;;;;Digizeitschriften;;;;;;;;;;;;;;;
166;Falkenstein,_Entstehungsort_und_Redaktor;Falkenstein, Entstehungsort und Redaktor;Ludwig Falkenstein, Zu Entstehungsort und Redaktor der Collectio Brugensis, in: Stanley A. Chodorow (Hg.), Proceedings of the eighth international congress of medieval canon law, Vatikanstadt 1992 (Monumenta iuris canonici, C/9), S. 117–162.;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
167;Falkenstein,_Étienne_de_La_Chapelle;Falkenstein, Étienne de La Chapelle;Ludwig Falkenstein, Étienne de La Chapelle als Vertrauter Ludwigs VII. und Delegat Alexanders III., in: Archivum Historiae Pontificiae 26 (1988), S. 375–392.;;;;(X);X;https://www.jstor.org/stable/23564269;;;;;;;;;;;;;;;;;;;;;;;;;JSTOR;;;;;;;;;;;;;;;
168;Falkenstein,_Zur_Geschichte_der_Stadt_Châlons-en-Champagne;Falkenstein, Zur Geschichte der Stadt Châlons-en-Champagne;Ludwig Falkenstein, Zur Geschichte der Stadt Châlons-en-Champagne im Mittelalter, in: Francia 35 (2008), S. 527–537.;;;;X;X;https://perspectivia.net/publikationen/francia/35-2008/0527-537;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
169;Falkenstein,_Guillaume_aux_Blanches_Mains;Falkenstein, Guillaume aux Blanches Mains;Ludwig Falkenstein, Guillaume aux Blanches Mains, archevêque de Reims et légat du Siège apostolique (1176–1202), in: Revue d’histoire de l’Église de France 91 (2005), S. 5–25.;;;;X;X;https://doi.org/10.1484/J.RHEF.2.304935 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
170;Falkenstein,_Die_Kirche_der_hl._Maria;Falkenstein, Die Kirche der hl. Maria;Ludwig Falkenstein, Die Kirche der hl. Maria zu Aachen und Saint-Corneille zu Compiègne, in: Clemens M. M. Bayer, Theo Jülich, Manfred Huhl (Hg.), Celica Iherusalem. Festschrift für Erich Stephany, Köln 1986, S. 13–70.;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
171;Falkenstein,_Leistungsersuchen;Falkenstein, Leistungsersuchen;Ludwig Falkenstein, Leistungsersuchen Alexanders III. aus dem ersten Jahrzehnt seines Pontifikates, in: Zeitschrift für Kirchengeschichte 102 (1991), S. 45–75, 175–208.;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
172;Falkenstein,_Les_deux_lettres;Falkenstein, Les deux lettres;Ludwig Falkenstein, Les deux lettres pontificales du ms. 15 et la tradition manuscrite des lettres pontificales du chapitre de Reims (fin du XIe–début du XIIIe siècle), in: Patrick Corbet, Patrick Demouy (Hg.), Un homme, un livre au XIe siècle. Le prévôt Odalric et le manuscrit 15 de la Bibliothèque municipale de Reims, Reims 2015 (Travaux de l’Académie nationale de Reims, 182), S. 179–222.;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
173;Falkenstein,_Lettres_et_privilèges;Falkenstein, Lettres et privilèges;Ludwig Falkenstein, Lettres et privilèges pontificaux perdus adressés aux archevêques de Reims (XIe-XIIe siècle), in: Revue du Nord 86 (2004), S. 585–604.;;;;X;X;https://www.cairn.info/revue-du-nord-2004-3-page-585.htm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
174;Falkenstein,_Modo_blanditiis;Falkenstein, Modo blanditiis;Ludwig Falkenstein, »Modo blanditiis, modo terroribus.« Alexander III. zum Streit der Abtei Saint-Vaast mit dem Grafen Philipp von Flandern um das Haupt des hl. Jakobus, in: Klaus Herbers, Waldemar Könighaus (Hg.), Von Outremer bis Flandern. Miscellanea zur Gallia Pontificia und zur Diplomatik, Berlin 2013 (Abhandlungen der Akademie der Wissenschaften in Göttingen. Philologisch-Historische Klasse, N. F. 26), S. 101–190.;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
175;Falkenstein,_Nikolaus_II._oder_Paschalis_II.?;Falkenstein, Nikolaus II. oder Paschalis II.?;Ludwig Falkenstein, Nikolaus II. oder Paschalis II.? Zum Empfänger des Schreibens eines »Geruasius Remensis dictus episcopus«, in: Franz-Reiner Erkens, Hartmut Wolff (Hg.), Von Sacerdotium und Regnum. Geistliche und weltliche Gewalt im frühen und hohen Mittelalter. Festschrift für Egon Boshof zum 65. Geburtstag, Köln 2002 (Passauer historische Forschungen, 12), S. 675–704.;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
176;Falkenstein,_Palliumverleihungen;Falkenstein, Palliumverleihungen;Ludwig Falkenstein, Zu verlorenen päpstlichen Privilegien und Schreiben: Palliumverleihungen an die Erzbischöfe von Reims (8.–12. Jahrhundert), in: Monika Gussone, Lotte Kéry (Hg.), Eloquentia copiosus. Festschrift für Max Kerner zum 65. Geburtstag, Aachen 2006, S. 181–224.;;;;X;X;https://www.mgh-bibliothek.de/dokumente/a/a139913.pdf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
177;Falkenstein,_Pontificalis_maturitas;Falkenstein, Pontificalis maturitas;Ludwig Falkenstein, »Pontificalis maturitas vel modestia sacerdotalis?« Alexander III. und Heinrich von Frankreich in den Jahren 1170–72, in: Archivum Historiae Pontificiae 22 (1984), S. 31–88.;;;;(X);X;https://www.jstor.org/stable/23564105;;;;;;;;;;;;;;;;;;;;;;;;;JSTOR;;;;;;;;;;;;;;;
178;Falkenstein,_Les_privilèges_et_les_lettres;Falkenstein, Les privilèges et les lettres;Ludwig Falkenstein, Les privilèges et les lettres de la chancellerie pontificale dans le chartrier de Montier-en-Der (XIe et XIIe siècles), in: Patrick Corbet (Hg.), Les moines du Der 673–1790. Actes du Colloque International d’Histoire Joinville-Montier-en-Der, 1er–3 octobre 1998, Langres 2000, S. 259–294. ;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
179;Falkenstein,_Radulf_von_Sarre;Falkenstein, Radulf von Sarre;Ludwig Falkenstein, Radulf von Sarre als päpstlicher Delegat und seine Mitdelegaten, in: Richard Henry Helmholz, Paul Mikat, Jörg Müller u. a. (Hg.), Grundlagen des Rechts. Festschrift für Peter Landau zum 65. Geburtstag, Paderborn 2000, S. 301–332.;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
180;Falkenstein,_Sirmondsche_Sammlung;Falkenstein, Sirmondsche Sammlung;Ludwig Falkenstein, Die Sirmondsche Sammlung der 56 Litterae Alexanders III., in: Rudolf Hiestand (Hg.), Hundert Jahre Papsturkundenforschung, Göttingen 2003 (Abhandlungen der Akademie der Wissenschaften in Göttingen. Philologisch-Historische Klasse, 3,261), S. 267–334.;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
181;Falkenstein,_Urkunden_für_Homblières;Falkenstein, Urkunden für Homblières;Ludwig Falkenstein, Die Ausgabe der Urkunden für die Abtei Homblières und die Abfolge mehrerer Litterae Alexanders III., in: Zeitschrift der Savigny-Stiftung für Rechtsgeschichte. Kanonistische Abteilung 78 (1992), S. 532–560.;;;;X;X;http://www.digizeitschriften.de/dms/img/?PPN=PPN602167337_0078&DMDID=DMDLOG_0014 ;;;;;;;;;;;;;;;;;;;;;;;;;Digizeitschriften;;;;;;;;;;;;;;;
182;Falkenstein,_Die_Versionen_der_Littera_Alexanders_III._JL_12116;Falkenstein, Die Versionen der Littera Alexanders III. JL 12116;Ludwig Falkenstein, Die beiden Versionen der Littera Alexanders III. JL 12116 (1171–1172) Sept. 9, in: Peter Landau, Jörg Müller (Hg.), Proceedings of the Ninth International Congress of Medieval Canon Law Munich, 13–18 July 1992, Vatikanstadt 1997 (Monumenta iuris canonici, C/10), S. 185–255.;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
183;Falkenstein,_Wilhelm_von_Champagne;Falkenstein, Wilhelm von Champagne;Ludwig Falkenstein, Wilhelm vom Champagne, Elekt von Chartres (1164–1168), Erzbischof von Sens (1168/69–1176), Erzbischof von Reims (1176–1202), Legat des apostolischen Stuhles, im Spiegel päpstlicher Schreiben und Privilegien, in: Zeitschrift der Savigny-Stiftung für Rechtsgeschichte. Kanonistische Abteilung 89 (2003), S. 107–284.;;;;X;X;http://www.digizeitschriften.de/dms/img/?PPN=PPN602167337_0089&DMDID=DMDLOG_0012;https://www.digizeitschriften.de/id/602167337_0089|LOG_0012;;;;;;;;;;;;;;;;;;;;;;;;Digizeitschriften;;;;;;;;;;;;;;;
184;Favre,_Eudes;Favre, Eudes;Édouard Favre, Eudes, comte de Paris et roi de France 882–898, Paris 1893 (Bibliothèque de l’École des Hautes Études. 4e Section. Sciences Historiques et Philologiques, 99).;;;;X;X;https://archive.org/details/eudescomtedepar00favrgoog/page/n21/mode/2up;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
185;FAZY,_Origines;FAZY, Origines;Max Fazy, Les origines du Bourbonnais, 2 Bde., Moulins 1924.;;I;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
186;Fliche,_Philippe_Ier;Fliche, Philippe Ier;Augustin Fliche, Le règne de Philippe Ier, roi de France (1060–1108), Paris 1912.;;;;X;X;https://gallica.bnf.fr/ark:/12148/bpt6k3384062v/f13.item;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
187;Fliche,_Réforme;Fliche, Réforme;Augustin Fliche, La réforme grégorienne, 3 Bde., Louvain 1924–1937 (Spicilegium sacrum Lovaniense, 6, 9, 16).;;I;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
188;de_Florival,_Étude_historique;de Florival, Étude historique;Adrien de Florival, Étude historique sur le XIIe siècle. Barthélemy de Vir, évêque de Laon, Paris 1877.;;;;X;X;https://gallica.bnf.fr/ark:/12148/bpt6k6461223t;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
189;Floss,_Papstwahl;Floss, Papstwahl;Die Papstwahl unter den Ottonen. Nebst ungedruckten Papst- und Kaiserurkunden des IX. und X. Jahrhunderts, darunter das Privilegium Leos VIII für Otto I. Aus einer Trierer Handschrift, ed. Heinrich Joseph Floss, Freibung i. Br. 1858.;;;;X;X;https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10024649-4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
190;Fontanini,_Codex_Constitutionum;Fontanini, Codex Constitutionum;Codex constitutionum quas summi pontifices ediderunt in solemni canonizatione sanctorum, ed. Giusto Fontanini, Rom 1729.;;;;X;X;http://www.mdz-nbn-resolving.de/urn/resolver.pl?urn=urn:nbn:de:bvb:12-bsb10636975-9 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
191;Foreville,_L´Église_et_la_royauté;Foreville, L´Église et la royauté;Raymonde Foreville, L’église et la royauté en Angleterre sous Henri II Plantagenet (1154–1189), Paris 1943.;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
192;Fowler-Magerl,_Ordo_iudiciorum;Fowler-Magerl, Ordo iudiciorum;Linda Fowler-Magerl, Ordo iudiciorum vel ordo iudiciarius. Begriff und Literaturgattung, Frankfurt a. M. 1984 (Ius Commune. Sonderhefte, 19).;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
193;Fransen,_Collections_canoniques;Fransen, Collections canoniques;Gérard Fransen, Les collections canoniques, Turnhout 1973 (Typologie des sources du Moyen Âge occidental, 10).;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
194;Fredericq,_Corpus_documentorum_inquisitionis;Fredericq, Corpus documentorum inquisitionis;Corpus documentorum inquisitionis haereticae pravitatis Neerlandicae. Verzameling van stukken betreffende de pauselijke en bisschoppelijke inquisitie in de Nederlanden, ed. Paul Frédéricq, 3 Bde., Gent 1889–1906 (Hoogeschool van Gent, Werken van den practischen leergang voor vaderlandsche geschiedenis, 1, 5, 10).;;I;;X;X;http://digital.ub.uni-duesseldorf.de/ihd/content/titleinfo/2637996 ;;;;;http://digital.ub.uni-duesseldorf.de/ihd/content/structure/2643126;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
195;Freher,_Rerum_germanicarum_scriptores;Freher, Rerum germanicarum scriptores;Germanicarum rerum scriptores aliquot insignes, hactenus incogniti, ed. Marquard Freher, 3 Bde., 2. Aufl., Francofvrti 1624–1637.;;I;;X;X;;;;;;https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb11193506-4;;;https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10143275-2;https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10143276-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
196;Fried,_Ludwig_der_Fromme;Fried, Ludwig der Fromme;Johannes Fried, Ludwig der Fromme, das Papsttum und die fränkische Kirche, in: Peter Godman, Roger Collins (Hg.), Charlemagne’s heir. New perspectives on the reign of Louis the Pious (814–840), Oxford 1990, S. 231–273.;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
197;Friedberg,_Canones-Sammlungen;Friedberg, Canones-Sammlungen;Die Canones-Sammlungen zwischen Gratian und Bernhard von Pavia, ed. Emil Friedberg, Leipzig 1897. ;;;;X;X;https://archive.org/details/diecanonessammlu00frie/page/n3/mode/2up;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
198;Friedberg,_Quinque_compilationes_antiquae;Friedberg, Quinque compilationes antiquae;Quinque Compilationes antiquae nec non Collectio canonum Lipsiensis, ed. Emil Friedberg, Leipzig 1882.;;;;X;X;https://digital.staatsbibliothek-berlin.de/werkansicht/?PPN=PPN894845845;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
199;Friedmann,_Paris,_ses_rues,_ses_paroisses;Friedmann, Paris, ses rues, ses paroisses;Adrien Friedmann, Paris, ses rues, ses parroises du Moyen Âge à la révolution. Origine et évolution des circonscriptions paroissiales, Paris 1959.;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200;Fuhrmann,_Einfluß;Fuhrmann, Einfluß;Horst Fuhrmann, Einfluß und Verbreitung der pseudoisidorischen Fälschungen. Von ihrem Auftauchen bis in die neuere Zeit, 3 Bde., Stuttgart 1972–1974 (MGH Schriften, 24).;;"I ; II";;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201;Fuhrmann,_Studien;Fuhrmann, Studien;Horst Fuhrmann, Studien zur Geschichte mittelalterlicher Patriarchate, in: Zeitschrift der Savigny-Stiftung für Rechtsgeschichte. Kanonistische Abteilung 40 (1954), S. 1–84.;;;;X;X;http://www.digizeitschriften.de/dms/img/?PPN=PPN602167337_0040&DMDID=DMDLOG_0003 ;;;;;;;;;;;;;;;;;;;;;;;;;Digizeitschriften;;;;;;;;;;;;;;;
202;Gaillard-Jorrand,_Laon;Gaillard/Jorrand, Laon;Michèle Gaillard, Jean-Pierre Jorrand, Laon, in: Luce Pietri (Hg.), Topographie chrétienne des cités de la Gaule, Bd. 14: Province ecclésiastique de Reims, Belgica secunda, Paris 2006, S. 163–170.;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
203;Gall._Pont._1;Gall. Pont. 1;Gallia Pontificia 1. Diocèse de Besançon, ed. Bernard de Vregille, René Locatelli, Gérard Moyse, Göttingen 1998 (Regesta Pontificum Romanorum).;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
204;Gall._Pont._3,1;Gall. Pont. 3,1;Gallia Pontificia 3. Province ecclésiastique de Vienne. Tome 1: Diocèse de Vienne, ed. Beate Schilling, Göttingen 2006 (Regesta Pontificum Romanorum).;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
205;Gall._Pont._3,3;Gall. Pont. 3,3;Gallia Pontificia 3. Province ecclésiastique de Vienne. Tome 3: Diocèse de Die et de Viviers, ed. Beate Schilling, Göttingen 2006 (Regesta Pontificum Romanorum).;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
206;Gallia_christ.;Gallia christ.;"Gallia Christiana, in provincias ecclesiasticas distributa; in qua series et historia archiepiscoporum, episcoporum et abbatum regionum omnium quas vetus Gallia complectebatur, ab origine Ecclesiarum ad nostra tempora deducitur, et probatur ex authenticis instrumentis ad calcem appositis, 16 Bde., Paris 1715–1865.";;"4 ; 8 ; 10 ; 14 ; 16 z. T. mit Instrumenta";;X;X;;;;;;https://books.google.com/books?id=uVmjfXlEMJcC&hl=fr&pg=PP9#v=onepage&q&f=false;;;https://books.google.com/books?id=rPl5C1FK-oMC&hl=fr&pg=PP7#v=onepage&q&f=false;https://books.google.com/books?id=6pNL-wyvnfUC&hl=fr&pg=PR1#v=onepage&q&f=false;https://books.google.com/books?id=4ILPAwMbPw4C&hl=fr&pg=PP9#v=onepage&q&f=false;https://books.google.com/books?id=mwSg0CHXBlMC&hl=fr&pg=PP9#v=onepage&q&f=false;https://books.google.com/books?id=6y23oeOUDJcC&hl=fr&pg=PP10#v=onepage&q&f=false;https://books.google.com/books?id=kQl32blTHe8C&printsec=frontcover&hl=fr#v=onepage&q&f=false;;;https://books.google.com/books?id=TBoKSFE2b6AC&hl=fr&pg=PP9#v=onepage&q&f=false;https://books.google.com/books?id=qHVHZg7itAEC&hl=fr&pg=PR2#v=onepage&q&f=false;https://books.google.fr/books?id=BK0Uqas_HU8C&hl=fr&pg=PA1125#v=onepage&q&f=false;http://books.google.com/books?id=P22VqNVUj7sC&hl=de&pg=PA6#v=onepage&q&f=false;http://books.google.com/books?id=MXCTaRlDmywC&hl=de&pg=PP7#v=onepage&q&f=false;http://books.google.com/books?id=xmzk97HmsOEC&hl=de&pg=PA2#v=onepage&q&f=false;http://books.google.com/books?id=YNg-AAAAcAAJ&hl=de&pg=PP9#v=onepage&q&f=false;http://books.google.com/books?id=z9k-AAAAcAAJ&hl=de&pg=PP7#v=onepage&q&f=false;http://books.google.com/books?id=pTI_AAAAcAAJ&hl=de&pg=PA3#v=onepage&q&f=false;;;;;;;;;;;;;;;;
207;Ganzer,_Entwicklung_des_auswärtigen_Kardinalats;Ganzer, Entwicklung des auswärtigen Kardinalats;Klaus Ganzer, Die Entwicklng des auswärtigen Kardinalats im hohen Mittelalter. Ein Beitrag zur Geschichte des Kardinalkollegiums vom 11. bis 13. Jahrhunderts, Tübingen 1963 (Bibliothek des Deutschen Historischen Instituts in Rom, 26).;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
208;García_y_García,_Constitutiones_concilii_quarti_Lateranensis;García y García, Constitutiones concilii quarti Lateranensis;Constitutiones Concilii quarti Lateranensis una cum Commentariis glossatorum, ed. Antonio García y García, Vatikanstadt 1981 (Monumenta iuris canonici, A/2).;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
209;Gastaldelli,_Opere_di_San_Bernardo;Gastaldelli, Opere di San Bernardo;Opere di San Bernardo, ed. Ferruccio Gastaldelli, 8 Bde., Mailand 1984–2021.;;"6,1 ; 6,2";;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210;Gaudemet,_Le_gouvernement;Gaudemet, Le gouvernement;Jean Gaudemet, Le gouvernement de l’Église à l’époque classique, Paris 1979 (Histoire du droit et des institutions de l’Église en Occident, 8).;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
211;Gaul,_Manasses_I.;Gaul, Manasses I.;Heinrich Gaul, Manasses I., Erzbischof von Reims. Ein Lebensbild aus der Zeit der gregorianischen Reformbestrebungen in Frankreich. Teil 1. Der unbekannte Manasses der ersten Jahre (1069 bis Frühjahr 1077), Essen 1940.;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
212;Germ._Pont._4;Germ. Pont. 4;Germania Pontificia 4: Provincia Maguntinensis. Pars 4: S. Bonifatius, Archidiocesis Maguntinensis, Abbatia Fuldensis, ed. Hermann Jakobs, Göttingen 1978 (Regesta Pontificum Romanorum).;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
213;Germ._Pont._5,1;Germ. Pont. 5,1;Germania Pontificia 5,1: Provincia Maguntinensis. Pars 5: Dioeceses Patherbrunnensis et Verdensis, ed. Hermann Jakobs, Göttingen 2003 (Regesta Pontificum Romanorum).;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
214;Germ._Pont._5,2;Germ. Pont. 5,2;Germania Pontificia 5,2: Provincia Maguntinensis. Pars 6: Dioeceses Hildesheimensis et Halberstadensis, Appendix Saxonia, ed. Hermann Jakobs, Berlin 2005 (Regesta Pontificum Romanorum).;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
215;Germ._Pont._6;Germ. Pont. 6;Germania Pontificia 6: Provincia Hammaburgo-Bremensis, ed. Wolfgang Seegrün, Theodor Schieffer, Berlin 1981 (Regesta Pontificum Romanorum).;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
216;Germ._Pont._7;Germ. Pont. 7;Germania Pontificia 7: Provincia Coloniensis. Pars 1: Archidioecesis Coloniensis, ed. Theodor Schieffer, Göttingen 1986 (Regesta Pontificum Romanorum).;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
217;Germ._Pont._9;Germ. Pont. 9;Germania Pontificia 9: Provincia Coloniensis. Pars 3: Dioceses Traiectensis, Monasteriensis, Osnabrugensis et Mindensis, ed. Theodor Schieffer, Göttingen 2003 (Regesta Pontificum Romanorum).;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
218;Germ._Pont._10;Germ. Pont. 10;Germania Pontificia 10: Provincia Treverensis. Pars 1: Archidioecesis Treverensis, ed. Egon Boshof, Göttingen 1992 (Regesta Pontificum Romanorum).;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
219;Gersdorf,_Urkundenbuch_des_Hochstifts_Meissen;Gersdorf, Urkundenbuch des Hochstifts Meissen;Urkundenbuch des Hochstifts Meissen. Im Auftrage der Königlich Sächsischen Staatsregierung, ed. Ernst Gotthelf Gersdorf, Bd. 1, Leipzig 1864 (Codex diplomaticus Saxoniae regiae, 1).;;;;X;X;https://codex.isgv.de/codex.php?band=cds2_01&f=&a=a&s=002 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
220;Gerzaguet,_L’abbaye_féminine_de_Denain;Gerzaguet, L’abbaye féminine de Denain;Jean-Pierre Gerzaguet, L’abbaye féminine de Denain, des origines à la fin du XIIIe siècle. Histoire et chartes, Turnhout 2008 (ARTEM, 10).;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
221;Gerzaguet,_Les_chartes_de_l’abbaye_d’Anchin;Gerzaguet, Les chartes de l’abbaye d’Anchin;Les chartes de l’abbaye d’Anchin: 1079–1201, ed. Jean-Pierre Gerzaguet, Turnhout 2005 (ARTEM, 6).;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
222;von_Giesebrecht,_Geschichte;von Giesebrecht, Geschichte;Wilhelm von Giesebrecht, Geschichte der deutschen Kaiserzeit, 6 Bde., Braunschweig 1878–1895.;;V,2;;X;X;;;;;;;;;;;;https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb11608797-9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
223;Gilliard,_Apostolicity;Gilliard, Apostolicity;Frank D. Gillard, The Apostolicity of Gallic Churches, in: The Harvard Theological Review 68 (1975), S. 17–33.;;;;(X);X;https://www.jstor.org/stable/1509015;;;;;;;;;;;;;;;;;;;;;;;;;JSTOR;;;;;;;;;;;;;;;
224;Giordanengo,_Geoffroy_de_Vendôme;Giordanengo, Geoffroy de Vendôme;Geoffroy de Vendôme, Œuvres, ed. Geneviève Giordanego, Turnhout 1996 (Sources d’histoire médiévale);;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
225;Giordanengo,_Le_registre_de_Lambert;Giordanengo, Le registre de Lambert;Le registre de Lambert, évêque d’Arras (1093–1115), ed. Claire Giordanengo, Paris 2007 (Sources d’histoire médiévale, 34).;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
226;Giordanengo,_Lettres;Giordanengo, Lettres;Lettres d’Yves de Chartres, ed. Geneviève Giordanengo, Orléans 2017 (TELMA), URL: http://telma-chartes.irht.cnrs.fr/yves-de-chartres/page/introduction.;;;;X;X;;http://telma-chartes.irht.cnrs.fr/yves-de-chartres/page/introduction;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
227;Girgensohn,_Das_Pisaner_Konzil_von_1135_in_der_Überlieferung_des_Pisaner_Konzils_von_1409;Girgensohn, Das Pisaner Konzil von 1135 in der Überlieferung des Pisaner Konzils von 1409;Dieter Girgensohn, Das Pisaner Konzil von 1135 in der Überlieferung des Pisaner Konzils von 1409, in: Festschrift für Hermann Heimpel zum 70. Geburtstag am 19. September 1971, Bd. 2, Göttingen 1972 (Veröffentlichungen des Max-Plancks-Instituts für Geschichte, 36), S. 1063–1100.;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
228;Glanvell,_Kanonessammlung_des_Kardinals_Deusdedit;Glanvell, Kanonessammlung des Kardinals Deusdedit;Die Kanonessammlung des Kardinals Deusdedit, ed. Victor Wolf von Glanvell, Paderborn 1905.;;;;X;X;http://www.archive.org/details/diekanonessamml00deusgoog;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
