key;Kurztitel;Kurztitel der Editionen;Geschichtsquellen.de;Arlima.net;Quellen;Langtitel;Bde.;Verlinkt;Link;Band I;Band II;Band III;Band IV;Band V;Band VI
Duchesne,_Histoire_de_la_maison_de_Chastillon_sur_Marne;Duchesne, Histoire de la maison de Chastillon sur Marne;;;;;Histoire de la maison de Chastillon-sur-Marne, avec les généalogies et armes des illustres familles de France et des Pays-Bas, lesquelles y ont été alliées. Le tout divisé en XII livres, et justifié par chartes, titres, arrêts, et autorisé par des plus fidèles historiens, ed. André Duchesne, Paris 1621.;Preuves;X;http://www.mdz-nbn-resolving.de/urn/resolver.pl?urn=urn:nbn:de:bvb:12-bsb10328076-2 ;https://gallica.bnf.fr/ark:/12148/bpt6k318896w ;;;;;
;;;;;;;;;;;;;;;
Duchesne,_Histoire_des_cardinaux_français;Duchesne, Histoire des cardinaux français;;;;;Histoire de tous les cardinaux françois de naisance, ou qui ont esté promeus au cardinalat, ed. François Duchesne, 2 Bde., Paris 1660.;II;;;;;;;;
Duchesne,_Historiae_Francorum_scriptores;Duchesne, Historiae Francorum scriptores;;;;;Historiae Francorum Scriptores Coaetanei, Ab Ipsius Gentis Origine, Ad Pipinum Usque Regem. Quorum plurimi nunc primum ex variis Codicibus Mss. in lucem prodeunt: alii vero auctiores et emendatiores. Cum Epistolis Regum, Reginarum, Pontificum, Ducum, Comitum, Abbatum, et aliis veteribus Rerum Francicarum Monumentis, ed. André Duchesne, 5 Bde., Paris 1636–1649.;"II ; IV";X;;;http://www.mdz-nbn-resolving.de/urn/resolver.pl?urn=urn:nbn:de:bvb:12-bsb10327778-4;;https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10327780-6;;
Duchesne,_Liber_Pontificalis;Duchesne, Liber Pontificalis;;;;;Le Liber Pontificalis. Texte, introduction et commentaire, ed. Louis Duchesne, 3 Bde., Paris 1866–1957 (Bibliothèque des Écoles françaises d’Athènes et de Rome).;II;X;;https://gallica.bnf.fr/ark:/12148/bpt6k3411141d;https://gallica.bnf.fr/ark:/12148/bpt6k34111185;;;;
Duchet-Giry,_Cartulaires;Duchet/Giry, Cartulaires;;;;;Cartulaires de l’église de Térouane, ed. Théodore Duchet, Arthur Giry, Saint-Omer 1881.;;X;http://www.archive.org/details/cartulairesdelg00fragoog ;;;;;;
Dümmler,_Geschichte;Dümmler, Geschichte;;;;;Ernst Dümmler, Geschichte des ostfränkischen Reiches. Ludwig der Deutsche, 2 Bde., Berlin 1862.;II;; ;http://www.mdz-nbn-resolving.de/urn/resolver.pl?urn=urn:nbn:de:bvb:12-bsb11097332-4;http://www.mdz-nbn-resolving.de/urn/resolver.pl?urn=urn:nbn:de:bvb:12-bsb11097333-9;https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10800611-9;;;
Dufour,_Recueil_des_actes_de_Louis_VI;Dufour, Recueil des actes de Louis VI;;;;;Recueil des actes de Louis VI roi de France (1108–1137), ed. Jean Dufour, 4 Bde., Paris 1992–1994 (Chartes et diplômes relatifs à l’histoire de France, 14,1–4).;"I ; II";;http://opac.regesta-imperii.de/lang_de/suche.php?qs=DUFOUR%2C+Recueil+des+actes+de+Louis+VI;;;;;;
Dufour,_Recueil_Robert_Ier;Dufour, Recueil Robert Ier;;;;;Recueil des actes de Robert Ier et de Raoul, rois de France (922–936), ed. Jean Dufour, Paris 1978 (Chartes et diplômes relatifs à l’histoire de France, 13). ;;;;;;;;;
Dufour-Malbezin,_Actes_des_évêques_de_Laon;Dufour-Malbezin, Actes des évêques de Laon;;;;;Actes des évêques de Laon des origines à 1151, ed. Annie Dufour-Malbezin, Paris 2001 (Documents, études et répertoires, 65).;;;;;;;;;
Duggan,_Justinian’s_Laws,_not_the_Lord’s;Duggan, Justinian’s Laws, not the Lord’s;;;;;Anne Josephine Duggan, Justinias’s Laws, not the Lord’s: Eugenius III and the learned laws, in: Iben Fonnesberg-Schmidt (Hg.), Pope Eugenius III (1145–1153): the first Cistercian pope, Amsterdam 2018 (Church, faith, and culture in the medieval West), S. 27–68.;;;;;;;;;
Duggan,_The_Correspondence_of_Thomas_Becket;Duggan, The Correspondence of Thomas Becket;;;;;The Correspondence of Thomas Becket, archbishop of Canterbury 1162–1170, ed. Anne Josephine Duggan, 2 Bde., Oxford 2000 (Oxford medieval texts).;"I ; II";;;;;;;;
Duggan,_Thomas_Becket:_A_Textual_History_of_His_Letters;Duggan, Thomas Becket: A Textual History of His Letters;;;;;Anne Duggan, Thomas Becket: A Textual History of His Letters, Oxford 1980.;;;;;;;;;
Duvivier,_Actes_et_documents_anciens;Duvivier, Actes et documents anciens;;;;;Actes et documents anciens intéressant la Belgique, ed. Charles Duvivier, 2 Bde., Bruxelles 1898–1903 (Commission royale d’histoire. Publications in-octavo, 17).;;;;;;;;;
Dvornik,_Schisme;Dvornik, Schisme;;;;;Franti?ek Dvornik, Le schisme de Photius. Histoire et légende, Paris 1950 (Unam sanctam, 19).;;;;;;;;;
Engelmann,_Legaten;Engelmann, Legaten;;;;;Otto Engelmann, Die päpstlichen Legaten in Deutschland bis zur Mitte des 11. Jahrhunderts, Marburg a. d. Lahn 1913.;;;;;;;;;
Erkens,_Die_Trierer_Kirchenprovinz;Erkens, Die Trierer Kirchenprovinz;;;;;Franz-Reiner Erkens, Die Trierer Kirchenprovinz im Investiturstreit, Köln 1987 (Passauer historische Forschungen, 4).;;;;;;;;;
Ewald,_Papstbriefe_der_Britischen_Sammlung;Ewald, Papstbriefe der Britischen Sammlung;;;;;Paul Ewald, Die Papstbriefe der Britischen Sammlung, in: Neues Archiv 5 (1880), S. 274–414, 505–596.;;;http://www.digizeitschriften.de/dms/img/?PPN=PPN345858530_0005&DMDID=dmdlog36 ;;;;;;
Ewald,_Päpstliche_Schreiben;Ewald, Päpstliche Schreiben;;;;;Paul Ewald, Drei unedierte päpstliche Schreiben, in: Neues Archiv 7, (1883), S. 360–364.;;;http://www.digizeitschriften.de/dms/img/?PPN=PPN345858530_0007&DMDID=dmdlog34;;;;;;
Fabre-Duchesne,_Liber_censuum;Fabre/Duchesne, Liber censuum;;;;;Le Liber Censuum de l’eglise romaine publié avec une introduction et un commentaire, ed. Paul Fabre, Louis Duchesne, 3 Bde., Paris 1910–1952.;I,4;;;;;;;;
Falkenstein,_Des_actes_de_juridiction_pontificale;Falkenstein, Des actes de juridiction pontificale;;;;;Ludwig Falkenstein, Des actes de juridiction pontificale effectues sans rescrit ou privilège de la chancellerie? Notes marginales sur les voyages d’Innocent II et d’Eugene III en France, in: Bernard Barbiche, Rolf Grosse (Hg.), Aspects diplomatiques des voyages pontificaux, Paris 2009 (Studien und Dokumente zur Gallia Pontificia, 6), S. 141–154.;;;;;;;;;
Falkenstein,_Alexander_III._und_der_Schutz_unheilbar_Kranker;Falkenstein, Alexander III. und der Schutz unheilbar Kranker;;;;;Ludwig Falkenstein, Alexander III. und der Schutz unheilbar Kranker. Zu einem Streit in Épernay, in: Francia 38 (2011), S. 33–60.;;;https://perspectivia.net/publikationen/francia/38-2011/0033-0060 ;;;;;;
Falkenstein,_Alexander_III._und_die_Abtei_Corbie;Falkenstein, Alexander III. und die Abtei Corbie;;;;;Ludwig Falkenstein, Alexander III. und die Abtei Corbie. Ein Beitrag zum Gewohnheitsrecht exemter Kirchen im 12. Jahrhundert, in: Archivum Historiae Pontificiae 27 (1989), S. 85–196.;;;;;;;;;
Falkenstein,_Alexandre_III_et_Henri_de_France;Falkenstein, Alexandre III et Henri de France;;;;;Ludwig Falkenstein, Alexandre III et Henri de France. Conformités et conflits, in: Rolf Grosse (Hg.), L’Église de France et la papauté (Xe–XIIIe siècle). Actes du XXVIe colloque historique franco-allemand organisé en coopération avec l’École nationale des chartes par l’Institut historique allemand de Paris (Paris, 17–19 octobre 1990). Die französische Kirche und das Papsttum (10.–13. Jahrhundert), Bonn 1993 (Studien und Dokumente zur Gallia Pontificia, 1), S. 103–176.;;;;;;;;;
Falkenstein,_Alexandre_III_et_la_vacance;Falkenstein, Alexandre III et la vacance;;;;;Ludwig Falkenstein, Alexandre III et la vacance d’un siège métropolitain: le cas de Reims, in: Jean-Marie Cauchies, Alain Marchandisse (Hg.), Sede vacante. La vacance du pouvoir dans l’Église du Moyen Âge, Bruxelles 2001 (Cahiers du Centre de recherches en histoire du droit et des institutions, 15), S. 3–37.;;;;;;;;;
Falkenstein,_Zu_den_Anfängen;Falkenstein, Zu den Anfängen;;;;;Ludwig Falkenstein, Zu den Anfängen der Regularkanonikerkommunität in Cheminon (Marne), in: Revue Mabillon N. S. 12 (2001), S. 5–43.;;;http://www.brepolsonline.net/doi/pdf/10.1484/J.RM.2.303616 ;;;;;;
Falkenstein,_Analecta_pontificia_Cameracensia;Falkenstein, Analecta pontificia Cameracensia;;;;;Ludwig Falkenstein, Analecta pontificia Cameracensia. Zu Datum und Inhalt mehrerer Mandate Alexanders III. betreffend Cambrai (1169–1172), in: Archivum Historiae Pontificiae 21 (1983), S. 35–78. ;;;;;;;;;
Falkenstein,_Appellationen;Falkenstein, Appellationen;;;;;Ludwig Falkenstein, Appellationen an den Papst und Delegationsgerichtsbarkeit am Beispiel Alexanders III. und Heinrichs von Frankreich, in: Zeitschrift für Kirchengeschichte 97 (1986), S. 36–65.;;;;;;;;;
Falkenstein,_Auswirkungen;Falkenstein, Auswirkungen;;;;;Ludwig Falkenstein, Die Auswirkungen des alexandrinischen Schismas in Diözese und Kirchenprovinz Reims, in: Bernard Barbiche, Rolf Grosse (Hg.), Schismes, dissidences, oppositions. La France et le Saint-Siège avant Boniface VIII, Paris 2012 (Studien und Dokumente zur Gallia Pontificia, 7), S. 139–192.;;;;;;;;;
Falkenstein,_Beispiele_für_Mischformen;Falkenstein, Beispiele für Mischformen;;;;;Ludwig Falkenstein, Beispiele für Mischformen päpstlicher »Litterae« in der Kanzlei Alexanders III. Mit einer Liste bislang datierter Briefe und Mandate, in: Francia 41 (2014), S. 335–380.;;;https://perspectivia.net/receive/ploneimport3_mods_00006871?q=FALKENSTEIN,%20Beispiele ;;;;;;
Falkenstein,_Ein_vergessener_Brief_Alexanders_III.;Falkenstein, Ein vergessener Brief Alexanders III.;;;;;Ludwig Falkenstein, Ein vergessener Brief Alexanders III. an einen »Rex Hibernorum« (mit einer Liste der im »Codex Vaticanus reg. lat 179« überlieferten Papst- und Kurialkorrespondenz), in: Archivum Historiae Pontificiae 10 (1972), S. 107–160.;;;;;;;;;
Falkenstein,_Grand_Cartulaire;Falkenstein, Grand Cartulaire;;;;;Ludwig Falkenstein, Das Grand Cartulaire der Abtei La Sauve Majeure und seine Papsturkunden, in: Francia 26,1 (1999), S. 155–183.;;;https://perspectivia.net/publikationen/francia/bsb00016303/francia-026_1-1999-00165-00194 ;;;;;;
Falkenstein,_Decretalia_Remensia;Falkenstein, Decretalia Remensia;;;;;Ludwig Falkenstein, Decretalia Remensia. Zu Daten und Inhalt einiger Dekretalen Alexanders III. für Empfänger in der Kirchenprovinz Reims, in: Filippo Liotta, Miscellanea Rolando Bandinelli Papa Alessandro III, Siena 1986, S. 153–215.;;;;;;;;;
Falkenstein,_Doppelwahl;Falkenstein, Doppelwahl;;;;;Ludwig Falkenstein, Alexander III. und der Streit um die Doppelwahl in Châlons-sur-Marne (1162–1164), in: Deutsches Archiv 32 (1976), S. 444–494.;;;http://www.digizeitschriften.de/main/dms/img/?PPN=PPN345858735_0032&DMDID=dmdlog37 ;;;;;;
Falkenstein,_Entstehungsort_und_Redaktor;Falkenstein, Entstehungsort und Redaktor;;;;;Ludwig Falkenstein, Zu Entstehungsort und Redaktor der Collectio Brugensis, in: Stanley A. Chodorow (Hg.), Proceedings of the eighth international congress of medieval canon law, Vatikanstadt 1992 (Monumenta iuris canonici, C/9), S. 117–162.;;;;;;;;;
Falkenstein,_Étienne_de_La_Chapelle;Falkenstein, Étienne de La Chapelle;;;;;Ludwig Falkenstein, Étienne de La Chapelle als Vertrauter Ludwigs VII. und Delegat Alexanders III., in: Archivum Historiae Pontificiae 26 (1988), S. 375–392.;;;;;;;;;
Falkenstein,_Zur_Geschichte_der_Stadt_Châlons-en-Champagne;Falkenstein, Zur Geschichte der Stadt Châlons-en-Champagne;;;;;Ludwig Falkenstein, Zur Geschichte der Stadt Châlons-en-Champagne im Mittelalter, in: Francia 35 (2008), S. 527–537.;;;https://perspectivia.net//servlets/MCRFileNodeServlet/ploneimport3_derivate_00007064/falkenstein_geschichte.pdf ;;;;;;
Falkenstein,_Guillaume_aux_Blanches_Mains;Falkenstein, Guillaume aux Blanches Mains;;;;;Ludwig Falkenstein, Guillaume aux Blanches Mains, archevêque de Reims et légat du Siège apostolique (1176–1202), in: Revue d’histoire de l’Église de France 91 (2005), S. 5–25.;;;https://doi.org/10.1484/J.RHEF.2.304935 ;;;;;;
Falkenstein,_Die_Kirche_der_hl._Maria;Falkenstein, Die Kirche der hl. Maria;;;;;Ludwig Falkenstein, Die Kirche der hl. Maria zu Aachen und Saint-Corneille zu Compiègne, in: Clemens M. M. Bayer, Theo Jülich, Manfred Huhl (Hg.), Celica Iherusalem. Festschrift für Erich Stephany, Köln 1986, S. 13–70.;;;;;;;;;
Falkenstein,_Leistungsersuchen;Falkenstein, Leistungsersuchen;;;;;Ludwig Falkenstein, Leistungsersuchen Alexanders III. aus dem ersten Jahrzehnt seines Pontifikates, in: Zeitschrift für Kirchengeschichte 102 (1991), S. 45–75, 175–208.;;;;;;;;;
Falkenstein,_Les_deux_lettres;Falkenstein, Les deux lettres;;;;;Ludwig Falkenstein, Les deux lettres pontificales du ms. 15 et la tradition manuscrite des lettres pontificales du chapitre de Reims (fin du XIe–début du XIIIe siècle), in: Patrick Corbet, Patrick Demouy (Hg.), Un homme, un livre au XIe siècle. Le prévôt Odalric et le manuscrit 15 de la Bibliothèque municipale de Reims, Reims 2015 (Travaux de l’Académie nationale de Reims, 182), S. 179–222.;;;;;;;;;
Falkenstein,_Lettres_et_privilèges;Falkenstein, Lettres et privilèges;;;;;Ludwig Falkenstein, Lettres et privilèges pontificaux perdus adressés aux archevêques de Reims (XIe-XIIe siècle), in: Revue du Nord 86 (2004), S. 585–604.;;;;;;;;;
Falkenstein,_Modo_blanditiis;Falkenstein, Modo blanditiis;;;;;Ludwig Falkenstein, »Modo blanditiis, modo terroribus.« Alexander III. zum Streit der Abtei Saint-Vaast mit dem Grafen Philipp von Flandern um das Haupt des hl. Jakobus, in: Klaus Herbers, Waldemar Könighaus (Hg.), Von Outremer bis Flandern. Miscellanea zur Gallia Pontificia und zur Diplomatik, Berlin 2013 (Abhandlungen der Akademie der Wissenschaften in Göttingen. Philologisch-Historische Klasse, N. F. 26), S. 101–190.;;;;;;;;;
Falkenstein,_Nikolaus_II._oder_Paschalis_II.?;Falkenstein, Nikolaus II. oder Paschalis II.?;;;;;Ludwig Falkenstein, Nikolaus II. oder Paschalis II.? Zum Empfänger des Schreibens eines »Geruasius Remensis dictus episcopus«, in: Franz-Reiner Erkens, Hartmut Wolff (Hg.), Von Sacerdotium und Regnum. Geistliche und weltliche Gewalt im frühen und hohen Mittelalter. Festschrift für Egon Boshof zum 65. Geburtstag, Köln 2002 (Passauer historische Forschungen, 12), S. 675–704.;;;;;;;;;
Falkenstein,_Palliumverleihungen;Falkenstein, Palliumverleihungen;;;;;Ludwig Falkenstein, Zu verlorenen päpstlichen Privilegien und Schreiben: Palliumverleihungen an die Erzbischöfe von Reims (8.–12. Jahrhundert), in: Monika Gussone, Lotte Kéry (Hg.), Eloquentia copiosus. Festschrift für Max Kerner zum 65. Geburtstag, Aachen 2006, S. 181–224.;;;;;;;;;
Falkenstein,_Pontificalis_maturitas;Falkenstein, Pontificalis maturitas;;;;;Ludwig Falkenstein, »Pontificalis maturitas vel modestia sacerdotalis?« Alexander III. und Heinrich von Frankreich in den Jahren 1170–72, in: Archivum Historiae Pontificiae 22 (1984), S. 31–88.;;;;;;;;;
Falkenstein,_Les_privilèges_et_les_lettres;Falkenstein, Les privilèges et les lettres;;;;;Ludwig Falkenstein, Les privilèges et les lettres de la chancellerie pontificale dans le chartrier de Montier-en-Der (XIe et XIIe siècles), in: Patrick Corbet (Hg.), Les moines du Der 673–1790. Actes du Colloque International d’Histoire Joinville-Montier-en-Der, 1er–3 octobre 1998, Langres 2000, S. 259–294. ;;;;;;;;;
Falkenstein,_Radulf_von_Sarre;Falkenstein, Radulf von Sarre;;;;;Ludwig Falkenstein, Radulf von Sarre als päpstlicher Delegat und seine Mitdelegaten, in: Richard Henry Helmholz, Paul Mikat, Jörg Müller u. a. (Hg.), Grundlagen des Rechts. Festschrift für Peter Landau zum 65. Geburtstag, Paderborn 2000, S. 301–332.;;;;;;;;;
Falkenstein,_Sirmondsche_Sammlung;Falkenstein, Sirmondsche Sammlung;;;;;Ludwig Falkenstein, Die Sirmondsche Sammlung der 56 Litterae Alexanders III., in: Rudolf Hiestand (Hg.), Hundert Jahre Papsturkundenforschung, Göttingen 2003 (Abhandlungen der Akademie der Wissenschaften in Göttingen. Philologisch-Historische Klasse, 3,261), S. 267–334.;;;;;;;;;
Falkenstein,_Urbans_Dekretale;Falkenstein, Urbans Dekretale;;;;;Ludwig Falkenstein, Urbans III. Dekretale JL 15746 (WH 280) und der Streit um die Einkünfte der Kirche in Brieulles-sur-Meuse, in: Zeitschrift der Savigny-Stiftung für Rechtsgeschichte. Kanonistische Abteilung 86 (2000), S. 185–261.;;;http://www.digizeitschriften.de/dms/img/?PPN=PPN602167337_0086&DMDID=DMDLOG_0010 ;;;;;;
Falkenstein,_Urkunden_für_Homblières;Falkenstein, Urkunden für Homblières;;;;;Ludwig Falkenstein, Die Ausgabe der Urkunden für die Abtei Homblières und die Abfolge mehrerer Litterae Alexanders III., in: Zeitschrift der Savigny-Stiftung für Rechtsgeschichte. Kanonistische Abteilung 78 (1992), S. 532–560.;;;http://www.digizeitschriften.de/dms/img/?PPN=PPN602167337_0078&DMDID=DMDLOG_0014 ;;;;;;
Falkenstein,_Die_Versionen_der_Littera_Alexanders_III._JL_12116;Falkenstein, Die Versionen der Littera Alexanders III. JL 12116;;;;;Ludwig Falkenstein, Die beiden Versionen der Littera Alexanders III. JL 12116 (1171–1172) Sept. 9, in: Peter Landau, Jörg Müller (Hg.), Proceedings of the Ninth International Congress of Medieval Canon Law Munich, 13–18 July 1992, Vatikanstadt 1997 (Monumenta iuris canonici, C/10), S. 185–255.;;;;;;;;;
Falkenstein,_Wilhelm_von_Champagne;Falkenstein, Wilhelm von Champagne;;;;;Ludwig Falkenstein, Wilhelm vom Champagne, Elekt von Chartres (1164–1168), Erzbischof von Sens (1168/69–1176), Erzbischof von Reims (1176–1202), Legat des apostolischen Stuhles, im Spiegel päpstlicher Schreiben und Privilegien, in: Zeitschrift der Savigny-Stiftung für Rechtsgeschichte. Kanonistische Abteilung 89 (2003), S. 107–284.;;;http://www.digizeitschriften.de/dms/img/?PPN=PPN602167337_0089&DMDID=DMDLOG_0006 ;;;;;;
Favre,_Eudes;Favre, Eudes;;;;;Édouard Favre, Eudes, comte de Paris et roi de France 882–898, Paris 1893 (Bibliothèque de l’École des Hautes Études. 4e Section. Sciences Historiques et Philologiques, 99).;;;;;;;;;
FAZY,_Origines;FAZY, Origines;;;;;Max Fazy, Les origines du Bourbonnais, 2 Bde., Moulins 1924.;I;;;;;;;;
Fliche,_Philippe_Ier;Fliche, Philippe Ier;;;;;Augustin Fliche, Le règne de Philippe Ier, roi de France (1060–1108), Paris 1912.;;;;;;;;;
Fliche,_Réforme;Fliche, Réforme;;;;;Augustin Fliche, La réforme grégorienne, 3 Bde., Louvain 1924–1937 (Spicilegium sacrum Lovaniense, 6, 9, 16).;I;;;;;;;;
de_Florival,_Étude_historique;de Florival, Étude historique;;;;;Adrien de Florival, Étude historique sur le XIIe siècle. Barthélemy de Vir, évêque de Laon, Paris 1877.;;;;;;;;;
Floss,_Papstwahl;Floss, Papstwahl;;;;;Die Papstwahl unter den Ottonen. Nebst ungedruckten Papst- und Kaiserurkunden des IX. und X. Jahrhunderts, darunter das Privilegium Leos VIII für Otto I. Aus einer Trierer Handschrift, ed. Heinrich Joseph Floss, Freibung i. Br. 1858.;;;http://books.google.de/books?id=abMAAAAAcAAJ ;;;;;;
Fontanini,_Codex_Constitutionum;Fontanini, Codex Constitutionum;;;;;Codex constitutionum quas summi pontifices ediderunt in solemni canonizatione sanctorum, ed. Giusto Fontanini, Rom 1729.;;X;http://www.mdz-nbn-resolving.de/urn/resolver.pl?urn=urn:nbn:de:bvb:12-bsb10636975-9 ;;;;;;
Foreville,_L´Église_et_la_royauté;Foreville, L´Église et la royauté;;;;;Raymonde Foreville, L’église et la royauté en Angleterre sous Henri II Plantagenet (1154–1189), Paris 1943.;;;;;;;;;
Fowler-Magerl,_Ordo_iudiciorum;Fowler-Magerl, Ordo iudiciorum;;;;;Linda Fowler-Magerl, Ordo iudiciorum vel ordo iudiciarius. Begriff und Literaturgattung, Frankfurt a. M. 1984 (Ius Commune. Sonderhefte, 19).;;;;;;;;;
Fransen,_Collections_canoniques;Fransen, Collections canoniques;;;;;Gérard Fransen, Les collections canoniques, Turnhout 1973 (Typologie des sources du Moyen Âge occidental, 10).;;;;;;;;;
Fredericq,_Corpus_documentorum_inquisitionis;Fredericq, Corpus documentorum inquisitionis;;;;;Corpus documentorum inquisitionis haereticae pravitatis Neerlandicae. Verzameling van stukken betreffende de pauselijke en bisschoppelijke inquisitie in de Nederlanden, ed. Paul Frédéricq, 3 Bde., Gent 1889–1906 (Hoogeschool van Gent, Werken van den practischen leergang voor vaderlandsche geschiedenis, 1, 5, 10).;I;X;http://digital.ub.uni-duesseldorf.de/ihd/content/titleinfo/2637996 ;;;;;;
Freher,_Rerum_germanicarum_scriptores;Freher, Rerum germanicarum scriptores;;;;;Germanicarum rerum scriptores aliquot insignes, hactenus incogniti, ed. Marquard Freher, 3 Bde., Francofvrti 21624–1637.;I;;https://de.wikisource.org/wiki/Scriptores_rerum_Germanicarum_(Asher)#9._Sammlung_%E2%80%93_Freher/Struve;https://books.google.fr/books?id=vL81V4FY2ooC&hl=de&source=gbs_navlinks_s ;;;;;
;;;;;;;;;;;;;;;
Fried,_Ludwig_der_Fromme;Fried, Ludwig der Fromme;;;;;Johannes Fried, Ludwig der Fromme, das Papsttum und die fränkische Kirche, in: Peter Godman, Roger Collins (Hg.), Charlemagne’s heir. New perspectives on the reign of Louis the Pious (814–840), Oxford 1990, S. 231–273.;;;;;;;;;
Friedberg,_Canones-Sammlungen;Friedberg, Canones-Sammlungen;;;;;Die Canones-Sammlungen zwischen Gratian und Bernhard von Pavia, ed. Emil Friedberg, Leipzig 1897. ;;;;;;;;;
Friedberg,_Quinque_compilationes_antiquae;Friedberg, Quinque compilationes antiquae;;;;;Quinque Compilationes antiquae nec non Collectio canonum Lipsiensis, ed. Emil Friedberg, Leipzig 1882.;;;;;;;;;
Friedmann,_Paris,_ses_rues,_ses_paroisses;Friedmann, Paris, ses rues, ses paroisses;;;;;Adrien Friedmann, Paris, ses rues, ses parroises du Moyen Âge à la révolution. Origine et évolution des circonscriptions paroissiales, Paris 1959.;;;;;;;;;
Fuhrmann,_Einfluß;Fuhrmann, Einfluß;;;;;Horst Fuhrmann, Einfluß und Verbreitung der pseudoisidorischen Fälschungen. Von ihrem Auftauchen bis in die neuere Zeit, 3 Bde., Stuttgart 1972–1974 (MGH Schriften, 24).;"I ; II";;;;;;;;
Fuhrmann,_Studien;Fuhrmann, Studien;;;;;Horst Fuhrmann, Studien zur Geschichte mittelalterlicher Patriarchate, in: Zeitschrift der Savigny-Stiftung für Rechtsgeschichte. Kanonistische Abteilung 40 (1954), S. 1–84.;;;http://www.digizeitschriften.de/dms/img/?PPN=PPN602167337_0040&DMDID=DMDLOG_0003 ;;;;;;
Gall._Pont._1;Gall. Pont. 1;;;;;Gallia Pontificia 1. Diocèse de Besançon, ed. Bernard de Vregille, René Locatelli, Gérard Moyse, Göttingen 1998 (Regesta Pontificum Romanorum).;;;;;;;;;
Gall._Pont._3,1;Gall. Pont. 3,1;;;;;Gallia Pontificia 3. Province ecclésiastique de Vienne. Tome 1: Diocèse de Vienne, ed. Beate Schilling, Göttingen 2006 (Regesta Pontificum Romanorum).;;;;;;;;;
Gall._Pont._3,3;Gall. Pont. 3,3;;;;;Gallia Pontificia 3. Province ecclésiastique de Vienne. Tome 3: Diocèse de Die et de Viviers, ed. Beate Schilling, Göttingen 2006 (Regesta Pontificum Romanorum).;;;;;;;;;
Gallia_christ.;Gallia christ.;;;;;"Gallia Christiana, in provincias ecclesiasticas distributa; in qua series et historia archiepiscoporum, episcoporum et abbatum regionum omnium quas vetus Gallia complectebatur, ab origine Ecclesiarum ad nostra tempora deducitur, et probatur ex authenticis instrumentis ad calcem appositis, 16 Bde., Paris 1715–1865.";"4 ; 8 ; 10 ; 14 ; 16 z. T. mit Instrumenta";;;;;;;;
Ganzer,_Entwicklung_des_auswärtigen_Kardinalats;Ganzer, Entwicklung des auswärtigen Kardinalats;;;;;Klaus Ganzer, Die Entwicklng des auswärtigen Kardinalats im hohen Mittelalter. Ein Beitrag zur Geschichte des Kardinalkollegiums vom 11. bis 13. Jahrhunderts, Tübingen 1963 (Bibliothek des Deutschen Historischen Instituts in Rom, 26).;;;;;;;;;
García_y_García,_Constitutiones_concilii_quarti_Lateranensis;García y García, Constitutiones concilii quarti Lateranensis;;;;;Constitutiones Concilii quarti Lateranensis una cum Commentariis glossatorum, ed. Antonio García y García, Vatikanstadt 1981 (Monumenta iuris canonici, A/2).;;;;;;;;;
Gastaldelli,_Opere_di_San_Bernardo;Gastaldelli, Opere di San Bernardo;;;;;Opere di San Bernardo, ed. Ferruccio Gastaldelli, 8 Bde., Mailand 1984–2021.;"6,1 ; 6,2";;;;;;;;
Gaudemet,_Le_gouvernement;Gaudemet, Le gouvernement;;;;;Jean Gaudemet, Le gouvernement de l’Église à l’époque classique, Paris 1979 (Histoire du droit et des institutions de l’Église en Occident, 8).;;;;;;;;;
Gaul,_Manasses_I.;Gaul, Manasses I.;;;;;Heinrich Gaul, Manasses I., Erzbischof von Reims. Ein Lebensbild aus der Zeit der gregorianischen Reformbestrebungen in Frankreich. Teil 1. Der unbekannte Manasses der ersten Jahre (1069 bis Frühjahr 1077), Essen 1940.;;;;;;;;;
Germ._Pont._4;Germ. Pont. 4;;;;;Germania Pontificia 4: Provincia Maguntinensis. Pars 4: S. Bonifatius, Archidiocesis Maguntinensis, Abbatia Fuldensis, ed. Hermann Jakobs, Göttingen 1978 (Regesta Pontificum Romanorum).;;;;;;;;;
Germ._Pont._5,1;Germ. Pont. 5,1;;;;;Germania Pontificia 5,1: Provincia Maguntinensis. Pars 5: Dioeceses Patherbrunnensis et Verdensis, ed. Hermann Jakobs, Göttingen 2003 (Regesta Pontificum Romanorum).;;;;;;;;;
Germ._Pont._5,2;Germ. Pont. 5,2;;;;;Germania Pontificia 5,2: Provincia Maguntinensis. Pars 6: Dioeceses Hildesheimensis et Halberstadensis, Appendix Saxonia, ed. Hermann Jakobs, Berlin 2005 (Regesta Pontificum Romanorum).;;;;;;;;;
Germ._Pont._6;Germ. Pont. 6;;;;;Germania Pontificia 6: Provincia Hammaburgo-Bremensis, ed. Wolfgang Seegrün, Theodor Schieffer, Berlin 1981 (Regesta Pontificum Romanorum).;;;;;;;;;
Germ._Pont._7;Germ. Pont. 7;;;;;Germania Pontificia 7: Provincia Coloniensis. Pars 1: Archidioecesis Coloniensis, ed. Theodor Schieffer, Göttingen 1986 (Regesta Pontificum Romanorum).;;;;;;;;;
